Instancia,Vertices,Arestas,Densidade,Melhor_Custo_SMA,Media_Custo_SMA,Tempo_Medio_SMA_s,Melhor_Custo_BRKGA,Media_Custo_BRKGA,Tempo_Medio_BRKGA_s,Validacao_SMA
cubic_100.txt,100,150,0.030303,76.00,79.20,0.3834,,,,OK
cubic_1000.txt,1000,1500,0.003003,857.00,864.00,1.7847,,,,OK
cubic_1100.txt,1100,1650,0.002730,941.00,951.20,1.9511,,,,OK
cubic_1200.txt,1200,1800,0.002502,1033.00,1038.80,2.1203,,,,OK
cubic_1300.txt,1300,1950,0.002309,1115.00,1123.90,2.3012,,,,OK
cubic_1400.txt,1400,2100,0.002144,1199.00,1213.80,2.5054,,,,OK
cubic_1500.txt,1500,2250,0.002001,1295.00,1305.00,2.5777,,,,OK
cubic_1600.txt,1600,2400,0.001876,1383.00,1396.10,2.7826,,,,OK
cubic_1700.txt,1700,2550,0.001766,1467.00,1475.20,2.9863,,,,OK
cubic_1800.txt,1800,2700,0.001668,1561.00,1574.20,3.0944,,,,OK
cubic_1900.txt,1900,2850,0.001580,1648.00,1661.20,3.2364,,,,OK
cubic_200.txt,200,300,0.015075,162.00,164.50,0.5824,,,,OK
cubic_2000.txt,2000,3000,0.001501,1742.00,1747.10,3.5122,,,,OK
cubic_2100.txt,2100,3150,0.001429,1815.00,1829.00,3.5277,,,,OK
cubic_2200.txt,2200,3300,0.001364,1910.00,1919.00,3.6960,,,,OK
cubic_2300.txt,2300,3450,0.001305,2000.00,2016.40,3.8949,,,,OK
cubic_2400.txt,2400,3600,0.001251,2084.00,2100.20,4.0272,,,,OK
cubic_2500.txt,2500,3750,0.001200,2160.00,2182.30,4.1968,,,,OK
cubic_2600.txt,2600,3900,0.001154,2274.00,2280.60,4.3412,,,,OK
cubic_2700.txt,2700,4050,0.001112,2340.00,2360.30,4.4293,,,,OK
cubic_2800.txt,2800,4200,0.001072,2442.00,2459.20,4.6232,,,,OK
cubic_2900.txt,2900,4350,0.001035,2522.00,2534.20,4.8999,,,,OK
cubic_300.txt,300,450,0.010033,244.00,250.70,0.7359,,,,OK
cubic_3000.txt,3000,4500,0.001000,2627.00,2635.70,4.9358,,,,OK
cubic_400.txt,400,600,0.007519,328.00,334.40,0.9128,,,,OK
cubic_500.txt,500,750,0.006012,417.00,423.60,1.0375,,,,OK
cubic_600.txt,600,900,0.005008,506.00,510.20,1.1953,,,,OK
cubic_700.txt,700,1050,0.004292,588.00,595.90,1.3290,,,,OK
cubic_800.txt,800,1200,0.003755,679.00,686.40,1.4692,,,,OK
cubic_900.txt,900,1350,0.003337,770.00,777.90,1.6815,,,,OK
