instance,run,agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
cubic_100.txt,1,ACO,3,8,8,87.000000000,3.212000132
cubic_100.txt,1,Tabu Search,2,80,79,103.000000000,0.009000063
cubic_100.txt,1,RVNS,6,80,79,103.000000000,0.007000208
cubic_100.txt,1,HHO,5,8,8,84.000000000,2.522000074
cubic_100.txt,2,ACO,6,8,8,83.000000000,4.913000107
cubic_100.txt,2,Tabu Search,2,80,79,115.000000000,0.003000021
cubic_100.txt,2,RVNS,0,80,79,115.000000000,0.003999949
cubic_100.txt,2,HHO,4,8,8,85.000000000,1.108999968
cubic_100.txt,3,ACO,4,8,8,83.000000000,3.666000128
cubic_100.txt,3,Tabu Search,1,80,79,106.000000000,0.003000021
cubic_100.txt,3,RVNS,5,80,79,106.000000000,0.004000187
cubic_100.txt,3,HHO,3,8,8,86.000000000,1.012000084
cubic_100.txt,4,ACO,5,8,8,85.000000000,5.793999910
cubic_100.txt,4,Tabu Search,1,80,79,112.000000000,0.002000093
cubic_100.txt,4,RVNS,3,80,79,112.000000000,0.003000021
cubic_100.txt,4,HHO,2,8,8,82.000000000,3.720000029
cubic_100.txt,5,ACO,4,8,8,88.000000000,5.766000032
cubic_100.txt,5,Tabu Search,2,80,79,111.000000000,0.003000021
cubic_100.txt,5,RVNS,3,80,79,111.000000000,0.004000187
cubic_100.txt,5,HHO,3,8,8,88.000000000,0.562000036
cubic_100.txt,6,ACO,5,8,8,88.000000000,5.416000128
cubic_100.txt,6,Tabu Search,3,80,79,115.000000000,0.003000021
cubic_100.txt,6,RVNS,1,80,79,115.000000000,0.005000114
cubic_100.txt,6,HHO,4,8,8,85.000000000,0.526000023
cubic_100.txt,7,ACO,5,8,8,89.000000000,4.927999973
cubic_100.txt,7,Tabu Search,3,80,79,104.000000000,0.003999949
cubic_100.txt,7,RVNS,3,80,79,104.000000000,0.006999969
cubic_100.txt,7,HHO,5,8,8,84.000000000,1.573999882
cubic_100.txt,8,ACO,3,8,8,85.000000000,4.363000154
cubic_100.txt,8,Tabu Search,2,80,79,116.000000000,0.003000021
cubic_100.txt,8,RVNS,4,80,79,116.000000000,0.004000187
cubic_100.txt,8,HHO,5,8,8,87.000000000,4.361999989
cubic_100.txt,9,ACO,5,8,8,82.000000000,4.908999920
cubic_100.txt,9,Tabu Search,1,80,79,110.000000000,0.002000093
cubic_100.txt,9,RVNS,0,80,79,110.000000000,0.003000021
cubic_100.txt,9,HHO,5,8,8,84.000000000,1.012000084
cubic_100.txt,10,ACO,3,8,8,88.000000000,3.790999889
cubic_100.txt,10,Tabu Search,2,80,79,106.000000000,0.006000042
cubic_100.txt,10,RVNS,3,80,79,106.000000000,0.003000021
cubic_100.txt,10,HHO,6,8,8,84.000000000,4.485999823
cubic_1000.txt,1,ACO,20,28,28,873.000000000,23.402000189
cubic_1000.txt,1,Tabu Search,4,80,79,1107.000000000,0.037000179
cubic_1000.txt,1,RVNS,6,80,79,1105.000000000,0.081000090
cubic_1000.txt,1,HHO,3,8,8,889.000000000,7.713999987
cubic_1000.txt,2,ACO,20,28,28,876.000000000,21.621000051
cubic_1000.txt,2,Tabu Search,4,80,79,1097.000000000,0.040999889
cubic_1000.txt,2,RVNS,8,80,79,1097.000000000,0.033999920
cubic_1000.txt,2,HHO,5,8,8,888.000000000,19.891000032
cubic_1000.txt,3,ACO,12,29,29,878.000000000,5.544000149
cubic_1000.txt,3,Tabu Search,5,80,79,1096.000000000,0.213000059
cubic_1000.txt,3,RVNS,5,80,79,1096.000000000,0.042000055
cubic_1000.txt,3,HHO,3,8,8,886.000000000,2.828999996
cubic_1000.txt,4,ACO,21,28,28,868.000000000,16.788000107
cubic_1000.txt,4,Tabu Search,7,80,79,1080.000000000,0.070000172
cubic_1000.txt,4,RVNS,4,80,79,1080.000000000,0.100000143
cubic_1000.txt,4,HHO,4,8,8,892.000000000,23.677000046
cubic_1000.txt,5,ACO,18,29,29,873.000000000,23.463999987
cubic_1000.txt,5,Tabu Search,6,80,79,1062.000000000,0.030999899
cubic_1000.txt,5,RVNS,6,80,79,1062.000000000,0.041999817
cubic_1000.txt,5,HHO,2,8,8,890.000000000,10.930999994
cubic_1000.txt,6,ACO,18,28,28,870.000000000,13.077000141
cubic_1000.txt,6,Tabu Search,5,80,79,1079.000000000,0.107000113
cubic_1000.txt,6,RVNS,4,80,79,1079.000000000,0.062999964
cubic_1000.txt,6,HHO,4,8,8,893.000000000,2.549999952
cubic_1000.txt,7,ACO,18,28,28,869.000000000,23.344000101
cubic_1000.txt,7,Tabu Search,5,80,79,1098.000000000,0.055999994
cubic_1000.txt,7,RVNS,6,80,79,1099.000000000,0.016000032
cubic_1000.txt,7,HHO,4,8,8,887.000000000,16.811000109
cubic_1000.txt,8,ACO,18,29,29,869.000000000,23.336000204
cubic_1000.txt,8,Tabu Search,5,80,79,1109.000000000,0.060000181
cubic_1000.txt,8,RVNS,5,80,79,1109.000000000,0.064000130
cubic_1000.txt,8,HHO,5,8,8,891.000000000,22.912000179
cubic_1000.txt,9,ACO,19,28,28,873.000000000,17.752000093
cubic_1000.txt,9,Tabu Search,4,80,79,1092.000000000,0.030000210
cubic_1000.txt,9,RVNS,5,80,79,1092.000000000,0.015000105
cubic_1000.txt,9,HHO,3,8,8,889.000000000,4.823000193
cubic_1000.txt,10,ACO,17,28,28,875.000000000,17.210000038
cubic_1000.txt,10,Tabu Search,6,80,79,1079.000000000,0.063999891
cubic_1000.txt,10,RVNS,4,80,79,1079.000000000,0.095999956
cubic_1000.txt,10,HHO,3,8,8,885.000000000,4.717000008
cubic_1100.txt,1,ACO,14,31,31,948.000000000,8.447000027
cubic_1100.txt,1,Tabu Search,8,80,79,1196.000000000,0.016000032
cubic_1100.txt,1,RVNS,2,80,79,1196.000000000,0.047000170
cubic_1100.txt,1,HHO,3,8,8,959.000000000,8.011000156
cubic_1100.txt,2,ACO,18,30,30,952.000000000,23.042999983
cubic_1100.txt,2,Tabu Search,6,80,79,1210.000000000,0.103999853
