instance,publications,consultations,pub_aco,pub_ts,pub_rvns,pub_hho
cubic_100.txt,13.2,176.0,4.3,1.9,2.8,4.2
cubic_1000.txt,32.1,196.3,18.1,5.1,5.3,3.6
cubic_1100.txt,29.4,198.5,16.4,5.0,4.5,3.5
cubic_1200.txt,30.8,200.4,15.9,5.4,5.5,4.0
cubic_1300.txt,33.4,202.8,18.3,5.7,6.0,3.4
cubic_1400.txt,34.5,204.2,20.7,6.1,4.6,3.1
cubic_1500.txt,33.1,206.0,18.6,5.5,5.8,3.2
cubic_1600.txt,34.5,207.5,19.7,6.2,5.4,3.2
cubic_1700.txt,35.5,209.5,21.0,5.4,5.8,3.3
cubic_1800.txt,37.7,211.3,22.3,5.6,6.4,3.4
cubic_1900.txt,35.1,212.4,18.7,6.2,7.1,3.1
cubic_200.txt,16.0,178.0,5.4,2.3,3.2,5.1
cubic_2000.txt,37.9,214.2,22.8,5.9,6.2,3.0
cubic_2100.txt,38.4,216.0,22.7,6.5,5.9,3.3
cubic_2200.txt,41.7,217.0,25.3,6.8,6.7,2.9
cubic_2300.txt,35.9,218.9,21.5,6.6,5.2,2.6
cubic_2400.txt,41.3,220.0,25.5,6.8,6.2,2.8
cubic_2500.txt,38.3,221.4,22.6,6.6,6.3,2.8
cubic_2600.txt,38.8,223.1,22.0,7.5,6.1,3.2
cubic_2700.txt,42.1,224.4,25.3,7.4,6.5,2.9
cubic_2800.txt,43.1,225.7,27.1,7.8,6.1,2.1
cubic_2900.txt,43.7,224.9,26.7,7.5,6.9,2.6
cubic_300.txt,19.5,180.1,7.3,3.5,3.8,4.9
cubic_3000.txt,38.1,227.5,22.2,6.3,6.4,3.2
cubic_400.txt,21.1,182.7,9.1,3.3,4.0,4.7
cubic_500.txt,21.7,184.9,9.7,4.1,4.0,3.9
cubic_600.txt,22.1,187.0,9.4,4.5,4.1,4.1
cubic_700.txt,25.5,189.4,12.6,4.3,4.5,4.1
cubic_800.txt,27.4,192.0,13.5,4.6,5.2,4.1
cubic_900.txt,27.0,193.2,14.4,5.8,3.6,3.2
