elapsed_seconds,agent,fitness,global_best,pool_size,is_new_global_best
0.006000042,Tabu Search,2559.000000000,2559.000000000,1,1
0.007999897,RVNS,2563.000000000,2559.000000000,2,0
0.013000011,RVNS,2560.000000000,2559.000000000,3,0
0.015000105,Tabu Search,2569.000000000,2559.000000000,4,0
0.017999887,Tabu Search,2558.000000000,2558.000000000,5,1
0.017999887,RVNS,2555.000000000,2555.000000000,5,1
0.019999981,Tabu Search,2562.000000000,2555.000000000,5,0
0.033999920,Tabu Search,2561.000000000,2555.000000000,5,0
0.066999912,Tabu Search,2557.000000000,2555.000000000,5,0
1.506999969,ACO,2477.000000000,2477.000000000,5,1
2.569000006,ACO,2474.000000000,2474.000000000,5,1
3.533999920,ACO,2455.000000000,2455.000000000,5,1
4.430000067,ACO,2451.000000000,2451.000000000,5,1
5.336999893,HHO,2035.000000000,2035.000000000,5,1
6.263000011,ACO,2051.000000000,2035.000000000,5,0
7.255000114,ACO,2047.000000000,2035.000000000,5,0
8.171000004,ACO,2048.000000000,2035.000000000,5,0
9.091000080,ACO,2039.000000000,2035.000000000,5,0
10.065000057,ACO,2036.000000000,2035.000000000,5,0
11.910000086,ACO,2040.000000000,2035.000000000,5,0
13.788000107,ACO,2046.000000000,2035.000000000,5,0
15.956000090,ACO,2024.000000000,2024.000000000,5,1
17.006000042,ACO,2032.000000000,2024.000000000,5,0
19.121999979,ACO,2037.000000000,2024.000000000,5,0
21.865000010,ACO,2012.000000000,2012.000000000,5,1
29.842000008,ACO,2029.000000000,2012.000000000,5,0
30.894000053,ACO,2031.000000000,2012.000000000,5,0
31.933000088,ACO,2026.000000000,2012.000000000,5,0
33.915999889,ACO,2021.000000000,2012.000000000,5,0
36.127000093,HHO,2027.000000000,2012.000000000,5,0
44.065999985,ACO,2022.000000000,2012.000000000,5,0
