instance,best,mean,worst,stdev,time_mean
cubic_100.txt,82.0,84.0,88.0,1.7638342073763937,5.9018
cubic_1000.txt,868.0,872.4,878.0,3.339993346633426,23.8284
cubic_1100.txt,946.0,954.6,964.0,6.899275324264136,25.237299999999998
cubic_1200.txt,1036.0,1043.3,1050.0,4.620004810002306,27.161
cubic_1300.txt,1123.0,1134.8,1145.0,6.408327915038888,29.4389
cubic_1400.txt,1205.0,1218.4,1227.0,7.647802879839993,31.242700000000003
cubic_1500.txt,1296.0,1306.5,1314.0,5.9675045966560525,33.4996
cubic_1600.txt,1387.0,1395.7,1408.0,8.097324661063471,35.150600000000004
cubic_1700.txt,1462.0,1479.2,1492.0,8.270429251254132,37.305
cubic_1800.txt,1571.0,1574.0,1580.0,2.8284271247461903,39.4919
cubic_1900.txt,1652.0,1661.7,1672.0,6.566751268490548,41.313900000000004
cubic_200.txt,166.0,170.2,175.0,3.457680661303984,7.2578000000000005
cubic_2000.txt,1730.0,1742.0,1749.0,6.21825270205921,43.644600000000004
cubic_2100.txt,1829.0,1835.5,1851.0,6.078194176270157,45.747699999999995
cubic_2200.txt,1903.0,1916.8,1929.0,9.647106647418523,47.619600000000005
cubic_2300.txt,2001.0,2013.1,2026.0,6.573515886579351,50.066700000000004
cubic_2400.txt,2102.0,2107.5,2117.0,5.104464277037851,51.940599999999996
cubic_2500.txt,2174.0,2187.3,2200.0,8.192815280611557,53.724599999999995
cubic_2600.txt,2268.0,2280.3,2290.0,8.179242018671411,55.951800000000006
cubic_2700.txt,2353.0,2362.7,2372.0,6.532823109328598,58.3058
cubic_2800.txt,2445.0,2454.5,2467.0,7.663042621715099,61.03060000000001
cubic_2900.txt,2519.0,2534.2,2550.0,10.819735055289787,75.3139
cubic_300.txt,251.0,257.6,263.0,3.5962943891363137,11.5959
cubic_3000.txt,2618.0,2635.9,2651.0,8.633912464488185,81.24969999999999
cubic_400.txt,338.0,345.7,352.0,4.029061098237818,14.2103
cubic_500.txt,427.0,432.9,439.0,3.984692933938295,14.8388
cubic_600.txt,514.0,517.4,520.0,1.837873166945363,17.5621
cubic_700.txt,592.0,603.1,610.0,4.909175083453431,22.5591
cubic_800.txt,690.0,694.1,701.0,3.5103022978402048,21.163800000000002
cubic_900.txt,775.0,782.5,794.0,5.359311730271176,24.1383
